open,high,low,close
1256.64,1256.96,1256.15,1256.44
1256.44,1257.74,1256.17,1256.65
1256.65,1257.15,1256.19,1257.08
1257.07,1257.36,1256.59,1257.16
1257.17,1257.28,1256.47,1256.67
1256.67,1256.88,1256.47,1256.79
1256.88,1257.13,1256.68,1257.02
1257.02,1257.14,1256.48,1256.81
1256.82,1257.3,1256.7,1256.98
1256.98,1257.08,1256.06,1256.46
1256.46,1256.49,1254.92,1255.98
1255.96,1256.24,1255.29,1255.86
1255.86,1256.62,1255.68,1255.92
1255.92,1257.02,1255.7,1255.84
1255.84,1256.15,1253.77,1255.12
1255.12,1255.61,1254.23,1255.53
1255.53,1255.53,1254.84,1255.13
1255.13,1255.23,1254.63,1254.92
1254.92,1256.04,1254.92,1255.63
1255.63,1255.98,1254.95,1255.04
1255.04,1256.05,1255.04,1255.76
1255.75,1255.99,1255.28,1255.38
1255.38,1255.97,1254.71,1254.81
1254.88,1254.95,1252.52,1252.81
1252.81,1253.43,1252.2,1252.94
1252.97,1254.57,1251.95,1253.36
1253.33,1255.08,1252.92,1254.91
1254.91,1255.74,1254.22,1254.29
1254.29,1255.07,1253.69,1254.72
1254.76,1255.26,1254.1,1254.89
1254.89,1256.01,1254.68,1255.39
1255.37,1255.84,1254.79,1255.31
1255.32,1255.78,1254.94,1255.41
1255.41,1256.58,1255.31,1255.93
1255.96,1256.15,1255.08,1255.85
1255.85,1255.91,1255.05,1255.47
1255.47,1256.52,1255.47,1256.25
1256.25,1256.98,1256.16,1256.62
1256.62,1256.98,1256.27,1256.78
1256.78,1257.07,1256.57,1256.84
1256.84,1256.99,1256.58,1256.73
1256.61,1256.82,1255.54,1255.97
1255.97,1256.39,1255.73,1256.38
1256.38,1256.58,1255.94,1256.58
1256.58,1256.68,1256.08,1256.54
1256.55,1256.79,1256.37,1256.5
1256.49,1256.54,1256.11,1256.53
1256.53,1256.92,1255.77,1256.43
1256.43,1256.68,1256.24,1256.31
1256.31,1256.52,1256.1,1256.22
1256.22,1256.4,1256.0,1256.12
1256.12,1256.58,1256.1,1256.31
1256.31,1256.71,1256.24,1256.24
1256.22,1256.33,1256.06,1256.12
1256.12,1256.12,1255.43,1255.75
1255.75,1255.76,1255.14,1255.56
1255.59,1255.84,1255.34,1255.56
1255.56,1255.68,1254.16,1254.64
1254.63,1255.04,1254.22,1255.04
1255.05,1255.26,1254.04,1254.2
1254.2,1254.42,1253.01,1253.77
1253.77,1254.16,1252.57,1252.97
1252.97,1254.28,1252.94,1254.05
1254.03,1254.19,1253.41,1253.89
1253.89,1254.34,1253.34,1253.91
1253.91,1254.29,1253.55,1253.55
1253.55,1254.3,1253.34,1253.8
1253.8,1254.01,1253.71,1253.82
1253.82,1254.63,1253.68,1253.83
1253.83,1255.35,1252.72,1253.44
1253.46,1253.81,1251.14,1252.85
1252.87,1253.63,1251.82,1252.14
1252.14,1253.09,1250.85,1251.61
1251.2,1251.2,1245.24,1246.94
1247.01,1250.09,1246.85,1249.83
1249.83,1249.91,1247.63,1247.77
1247.77,1248.99,1247.6,1248.64
1248.65,1249.3,1248.34,1248.82
1248.82,1248.92,1247.82,1247.82
1247.82,1248.55,1247.41,1247.91
1247.91,1249.96,1247.78,1249.24
1249.33,1253.63,1245.61,1245.9
1245.9,1247.52,1245.7,1247.01
1247.01,1247.18,1244.55,1244.69
1244.69,1245.13,1239.41,1239.51
1239.54,1240.06,1235.93,1238.34
1238.27,1238.8,1237.11,1237.11
1238.27,1238.77,1237.37,1238.01
1238.02,1238.22,1237.39,1238.1
1238.19,1238.4,1237.44,1237.89
1237.88,1238.51,1237.72,1238.22
1238.22,1239.04,1238.11,1238.64
1238.64,1239.06,1238.43,1238.9
1238.9,1241.23,1238.9,1241.21
1241.21,1241.21,1240.22,1240.93
1240.89,1241.12,1240.69,1240.84
